Date,First,Second,Third,Fourth,Fifth,Sixth,Bonus,Winning prize
"7 July, 2022",16,17,20,33,39,49,7,"$2,777,852"
"4 July, 2022",2,3,9,27,28,38,15,"$1,163,456"
"30 June, 2022",2,15,17,27,41,48,38,"$11,671,952"
"27 June, 2022",21,24,27,32,34,38,41,"$5,550,096"
"23 June, 2022",24,27,32,38,46,49,11,"$2,690,293"
"20 June, 2022",20,25,28,33,40,49,1,"$1,144,130"
"16 June, 2022",2,7,16,18,24,45,36,"$1,106,742"
"13 June, 2022",3,5,12,16,30,45,49,"$2,754,037"
"09 June, 2022",7,14,15,16,17,38,44,"$1,113,134"
"06 June, 2022",12,28,29,34,41,47,16,"$2,758,656"
"02 June, 2022",12,19,26,28,46,49,41,"$1,126,642"
"30 May, 2022",8,13,19,34,37,47,29,"$2,781,563"
"26 May, 2022",6,11,30,34,43,45,2,"$1,122,392"
"23 May, 2022",7,10,16,21,27,35,22,"$1,175,684"
"19 May, 2022",5,8,13,20,21,46,31,"$5,346,308"
"16 May, 2022",21,22,40,41,42,46,9,"$2,750,534"
"12 May, 2022",15,20,36,38,41,46,10,"$1,150,812"
"09 May, 2022",5,12,15,21,30,39,6,"$1,189,046"
"05 May, 2022",7,13,35,39,41,45,1,"$2,826,579"
"02 May, 2022",12,14,23,32,35,38,13,"$1,215,513"
"28 April, 2022",5,6,11,16,22,37,44,"$2,756,990"
"25 April, 2022",6,16,26,32,39,47,23,"$1,187,334"
"21 April, 2022",13,16,19,32,38,43,20,"$2,785,968"
"18 April, 2022",12,20,33,39,42,48,49,"$1,180,923"
"14 April, 2022",4,6,23,26,29,30,36,"$11,334,108"
"11 April, 2022",2,12,18,27,36,49,6,"$5,687,883"
"07 April, 2022",1,7,10,28,31,44,9,"$2,802,498"
"04 April, 2022",14,15,28,31,40,42,44,"$1,229,797"
"31 March, 2022",1,4,10,22,24,45,47,"$2,781,896"
"28 March, 2022",5,9,10,12,39,44,14,"$1,199,465"
"24 March, 2022",3,12,15,22,34,45,2,"$1,151,698"
"21 March, 2022",1,20,22,23,24,31,2,"$1,229,817"
"17 March, 2022",5,7,30,42,47,49,17,"$5,321,344"
"14 March, 2022",19,37,38,45,47,49,25,"$2,775,682"
"10 March, 2022",1,8,25,32,45,46,44,"$1,171,603"
"07 March, 2022",19,22,24,28,29,42,40,"$1,226,104"
"03 March, 2022",8,13,24,30,40,44,45,"$2,818,036"
"28 February, 2022",1,9,20,27,37,49,33,"$1,251,286"
"24 February, 2022",4,11,15,25,41,48,14,"$2,842,012"
"21 February, 2022",1,19,22,27,37,44,25,"$1,285,370"
"17 February, 2022",1,4,19,35,37,45,49,"$1,296,172"
"14 February, 2022",10,23,29,33,37,43,8,"$1,374,201"
"11 February, 2022",9,13,14,16,18,28,10,$16 Million
"07 February, 2022",1,11,17,28,32,35,44,"$4,024,761"
"03 February, 2022",15,28,31,32,44,49,18,"$1,568,402"
"24 January, 2022",1,8,10,31,32,38,39,
"21 January, 2022",2,4,11,13,28,38,49,"$5,153,284"
"17 January, 2022",4,13,26,31,33,35,29,"$1,350,206"
"13 January, 2022",3,6,18,20,26,35,34,
"10 January, 2022",8,11,17,21,30,44,48,"$10,713,876"
"07 January, 2022",3,8,11,20,44,49,32,"$5,000,000"
"03 January, 2022",6,12,20,33,46,47,49,"$2,919,972"
"30 December, 2021",4,7,12,13,21,35,29,"$1,168,793"
"27 December, 2021",3,9,13,23,24,44,7,"$1,185,706"
"23 December, 2021",1,21,35,39,44,45,42,"$5,123,553"
"20 December, 2021",4,5,16,18,24,34,27,"$2,737,951"
"16 December, 2021",6,26,27,37,40,43,49,"$1,109,255"
"13 December, 2021",5,18,19,23,40,49,20,"$1,171,190"
"09 December, 2021",1,17,30,31,42,43,46,"$1,131,910"
"06 December, 2021",7,16,33,37,42,43,48,"$5,273,720"
"02 December, 2021",6,12,22,23,40,49,25,"$2,678,275"
"29 November, 2021",1,7,12,26,28,32,21,
"25 November, 2021",6,20,27,32,40,44,4,"$1,124,442"
"22 November, 2021",1,3,16,20,35,41,5,"$2,819,063"
"18 November, 2021",1,10,39,43,45,48,14,
"15 November, 2021",23,27,31,34,43,48,1,"$10,836,071"
"11 November, 2021",5,7,12,35,48,49,2,"$5,467,165"
"08 November, 2021",7,8,20,31,35,41,3,"$2,967,399"
"04 November, 2021",7,18,22,36,44,45,30,"$1,170,858"
"01 November, 2021",7,15,22,24,26,37,9,
"28 October, 2021",3,20,27,34,35,46,37,"$5,423,730"
"25 October, 2021",4,18,24,40,43,47,48,"$2,810,748"
"21 October, 2021",7,22,23,25,42,43,18,"$1,083,863"
"18 October, 2021",5,23,24,27,44,49,26,"$10,623,010"
"14 October, 2021",10,15,16,24,45,47,19,"$5,317,952"
"11 October, 2021",10,26,27,36,37,43,42,"$2,739,802"
"07 October, 2021",1,27,28,39,40,49,33,"$1,139,158"
"04 October, 2021",10,14,28,30,35,40,6,"$1,187,156"
"30 September, 2021",5,8,14,26,30,44,47,"$2,691,213"
"27 September, 2021",20,28,33,38,40,44,49,"$1,149,112"
"23 September, 2021",9,35,41,42,43,44,29,"$5,316,580"
"20 September, 2021",3,6,10,16,33,49,1,"$2,736,836"
"16 September, 2021",9,10,15,30,38,48,2,"$1,124,075"
"13 September, 2021",6,25,26,41,42,44,37,"$2,770,889"
"09 September, 2021",5,19,30,33,37,42,38,"$1,154,295"
"06 September, 2021",1,15,31,32,33,44,20,"$1,213,578"
"02 September, 2021",3,4,6,10,19,42,34,"$1,118,709"
"30 August, 2021",19,23,24,27,36,37,17,"$2,875,088"
"26 August, 2021",5,18,24,37,38,49,35,"$1,136,923"
"23 August, 2021",5,17,26,27,31,48,4,"$2,786,953"
"19 August, 2021",1,3,9,39,40,47,29,"$1,141,850"
"16 August, 2021",10,21,28,31,37,38,6,"$2,858,851"
"12 August, 2021",2,20,25,29,32,49,36,"$1,176,065"
"09 August, 2021",15,24,33,34,36,40,18,"$1,260,804"
"05 August, 2021",3,17,19,23,32,38,7,"$1,170,107"
"02 August, 2021",12,16,23,26,33,44,10,"$2,821,901"
"29 July, 2021",1,7,22,33,40,48,10,"$1,162,868"
"26 July, 2021",3,8,30,34,39,46,44,"$2,752,930"
"22 July, 2021",1,21,26,38,44,45,17,"$1,150,075"
"19 July, 2021",4,10,21,33,42,44,19,"$1,253,392"
"15 July, 2021",3,5,9,14,23,26,20,"$2,842,588"
"12 July, 2021",18,19,23,24,38,45,27,
"08 July, 2021",7,9,15,20,23,40,2,"$2,841,196"
"05 July, 2021",8,14,20,28,29,36,18,"$1,215,022"
"01 July, 2021",4,5,9,17,31,34,8,"$2,852,539"
"28 June, 2021",14,31,32,33,38,47,45,"$1,223,532"
"24 June, 2021",1,12,17,21,24,44,23,"$2,787,777"
"21 June, 2021",7,8,10,14,17,28,45,"$1,207,060"
"17 June, 2021",5,12,15,30,38,43,33,"$2,703,392"
"14 June, 2021",5,16,23,24,28,45,40,"$1,176,671"
"10 June, 2021",1,9,15,22,24,42,10,"$2,719,974"
"07 June, 2021",7,14,23,31,39,41,33,"$1,186,463"
"03 June, 2021",1,7,21,26,30,39,40,"$1,104,725"
"31 May, 2021",14,15,18,19,30,44,6,"$1,146,790"
"27 May, 2021",3,7,9,24,36,38,43,"$1,063,033"
"24 May, 2021",11,18,23,31,32,33,49,"$9,500,557"
"20 May, 2021",7,12,18,29,32,37,44,"$4,810,636"
"17 May, 2021",5,6,11,36,41,46,8,"$2,573,585"
"13 May, 2021",2,4,5,16,39,47,24,"$1,128,608"
"10 May, 2021",6,18,32,33,34,45,8,"$1,202,447"
"06 May, 2021",4,6,12,20,31,35,47,"$1,130,415"
"03 May, 2021",15,17,18,35,41,42,3,"$2,819,520"
"29 April, 2021",2,19,22,29,36,43,5,"$1,158,265"
"26 April, 2021",2,15,18,36,42,49,26,"$1,177,379"
"22 April, 2021",3,17,22,32,38,48,41,"$10,682,746"
"19 April, 2021",8,10,16,17,20,43,32,
"15 April, 2021",10,14,23,25,35,46,39,"$2,873,445"
"12 April, 2021",4,23,27,43,48,49,47,"$1,283,733"
"08 April, 2021",7,8,9,14,28,35,4,
"05 April, 2021",9,11,15,17,25,40,5,"$1,233,854"
"01 April, 2021",10,11,15,21,29,44,26,"$11,048,184"
"29 March, 2021",14,15,20,23,30,35,39,"$5,715,180"
"25 March, 2021",4,16,17,20,22,44,38,"$2,867,653"
"22 March, 2021",2,12,20,35,37,44,17,"$1,285,850"
"18 March, 2021",2,5,12,24,25,29,3,"$1,199,310"
"15 March, 2021",12,15,19,28,35,43,44,
"11 March, 2021",12,19,26,41,46,47,35,"$1,291,606"
"08 March, 2021",8,13,17,27,33,40,38,"$6,323,496"
"04 March, 2021",11,12,20,28,30,38,27,"$3,018,668"
"01 March, 2021",5,6,7,13,25,37,30,"$1,289,048"
"26 February, 2021",21,24,40,42,44,48,1,"$11,930,891"
"22 February, 2021",3,6,8,11,36,48,1,"$1,692,314"
"18 February, 2021",1,4,6,15,40,44,37,"$3,778,784"
"15 February, 2021",9,13,18,20,34,40,36,"$1,663,053"
"11 February, 2021",10,23,25,28,46,49,36,"$1,549,792"
"08 February, 2021",9,10,25,27,34,42,29,"$12,505,336"
"05 February, 2021",8,9,11,24,26,47,34,"$5,756,800"
"01 February, 2021",4,6,9,18,27,39,33,"$5,963,669"
"28 January, 2021",6,16,25,32,35,37,22,
"25 January, 2021",8,9,12,17,33,39,48,"$1,237,120"
"21 January, 2021",8,11,15,17,19,35,45,"$1,173,182"
"18 January, 2021",2,12,23,33,35,37,43,"$1,242,653"
"14 January, 2021",12,21,23,25,32,44,42,"$1,201,368"
"11 January, 2021",3,5,8,19,26,47,41,"$1,226,996"
"07 January, 2021",1,7,9,12,32,36,17,"$1,203,865"
"04 January, 2021",4,5,8,12,27,42,14,"$10,877,387"
"01 January, 2021",5,8,13,16,35,47,2,"$5,000,000"
"28 December, 2020",32,34,40,45,46,47,25,"$2,665,122"
"24 December, 2020",5,11,19,21,22,37,26,"$1,085,845"
"21 December, 2020",4,8,15,31,36,39,47,"$5,276,378"
"17 December, 2020",5,8,27,33,35,41,30,"$2,572,958"
"14 December, 2020",6,21,29,45,47,48,15,"$1,129,379"
"10 December, 2020",10,17,22,23,27,33,34,"$1,078,941"
"07 December, 2020",7,13,14,33,37,48,24,"$1,157,744"
"03 December, 2020",1,7,8,11,36,40,31,"$5,087,689"
"30 November, 2020",2,3,25,33,35,49,10,"$2,585,321"
"26 November, 2020",2,5,8,27,35,48,29,"$1,069,500"
"23 November, 2020",1,7,11,22,30,45,48,"$1,087,867"
"19 November, 2020",3,12,22,23,34,42,49,"$2,561,272"
"16 November, 2020",1,2,20,27,36,44,17,"$1,121,332"
"12 November, 2020",9,11,14,22,26,35,20,"$5,049,960"
"09 November, 2020",8,12,13,30,37,46,36,"$2,604,051"
"05 November, 2020",3,19,25,33,40,44,37,"$1,073,493"
"02 November, 2020",3,36,37,44,48,49,35,"$2,621,371"
"29 October, 2020",10,12,27,37,39,46,13,"$1,097,144"
"26 October, 2020",2,8,11,19,41,49,27,"$2,537,135"
"22 October, 2020",11,25,28,30,34,36,24,"$1,047,682"
"19 October, 2020",9,10,11,13,20,25,15,"$2,510,030"
"15 October, 2020",14,27,28,31,46,48,7,
"12 October, 2020",1,10,14,40,41,48,30,"$1,129,342"
"08 October, 2020",2,3,7,12,21,34,41,"$2,508,725"
"05 October, 2020",7,10,14,15,39,44,1,
"01 October, 2020",7,10,11,21,26,48,13,"$2,491,507"
"28 September, 2020",5,16,27,34,41,42,49,"$1,058,349"
"24 September, 2020",4,31,36,40,45,48,26,"$2,402,433"
"21 September, 2020",13,16,17,20,27,38,26,"$1,053,936"
"17 September, 2020",1,3,9,19,36,39,5,"$1,015,508"
"14 September, 2020",2,11,13,15,28,45,36,"$1,027,357"
"10 September, 2020",15,21,27,36,39,43,45,
"07 September, 2020",9,11,19,22,36,45,23,"$1,043,391"
"03 September, 2020",4,16,27,32,44,47,9,"$1,000,000"
"31 August, 2020",12,15,16,23,25,46,47,"$1,063,603"
"27 August, 2020",2,10,13,32,41,43,24,"$2,290,680"
"24 August, 2020",1,19,24,26,37,41,22,"$1,029,127"
"20 August, 2020",6,15,19,26,30,48,41,"$1,000,000"
"17 August, 2020",1,2,15,30,35,46,38,"$2,265,634"
"13 August, 2020",5,9,29,41,42,43,28,"$979,239"
"10 August, 2020",9,19,20,29,36,43,38,"$2,283,630"
"06 August, 2020",10,28,35,39,41,43,44,"$979,323"
"03 August, 2020",1,3,10,15,32,40,7,"$1,036,188"
"30 July, 2020",18,24,34,38,43,48,8,"$1,000,000"
"27 July, 2020",4,19,25,31,34,37,32,"$2,094,834"
"23 July, 2020",4,12,13,20,35,36,18,
"20 July, 2020",1,20,23,24,40,42,48,"$2,067,630"
"16 July, 2020",5,18,27,28,29,37,21,"$894,121"
"13 July, 2020",6,22,34,35,37,43,33,"$1,991,057"
"09 July, 2020",8,10,12,16,21,48,41,"$889,194"
"06 July, 2020",1,22,26,38,39,48,40,"$1,960,305"
"02 July, 2020",3,20,36,38,43,48,16,"$838,079"
"29 June, 2020",3,9,17,38,39,41,13,"$1,000,000"
"25 June, 2020",23,37,42,43,47,49,34,"$2,468,698"
"02 April, 2020",4,11,14,23,28,47,24,"$1,033,972"
"30 March, 2020",1,7,17,29,30,43,31,"$2,465,944"
"26 March, 2020",7,12,13,19,42,46,29,
"23 March, 2020",10,30,35,39,42,49,18,"$1,072,420"
"19 March, 2020",8,19,27,33,37,47,18,"$8,856,507"
"16 March, 2020",2,15,19,40,47,48,27,"$4,889,114"
"12 March, 2020",1,3,18,34,36,49,16,"$2,679,178"
"09 March, 2020",4,11,14,22,29,47,6,"$1,179,023"
"05 March, 2020",12,14,30,37,38,40,42,"$2,724,901"
"02 March, 2020",11,37,39,41,42,46,43,"$1,178,708"
"27 February, 2020",10,32,35,36,46,49,40,"$9,310,169"
"24 February, 2020",11,24,26,29,42,47,25,"$4,952,282"
"20 February, 2020",7,19,26,31,34,40,6,"$2,681,534"
"17 February, 2020",17,19,23,30,42,45,13,
"13 February, 2020",5,7,19,23,44,48,45,"$2,643,278"
"10 February, 2020",8,12,15,17,32,46,20,"$1,130,626"
"07 February, 2020",10,15,16,21,24,49,2,"$12,000,000"
"03 February, 2020",6,9,23,34,42,49,22,"$3,444,812"
"30 January, 2020",7,20,29,41,47,49,28,"$1,408,411"
"27 January, 2020",3,32,38,43,46,48,34,"$5,423,334"
"23 January, 2020",9,14,36,38,40,47,30,"$2,916,845"
"20 January, 2020",11,18,20,22,27,37,39,"$1,162,939"
"17 January, 2020",1,11,24,28,45,48,23,"$12,047,766"
"13 January, 2020",2,3,4,13,16,33,14,
"09 January, 2020",12,24,34,38,46,47,28,"$2,567,053"
"06 January, 2020",2,7,11,15,26,47,33,"$1,060,518"
"03 January, 2020",13,15,21,23,30,35,25,"$5,000,001"
"30 December, 2019",3,12,13,35,36,40,33,
"26 December, 2019",8,16,20,24,25,36,13,"$2,642,314"
"23 December, 2019",1,15,35,41,42,43,28,"$1,128,795"
"19 December, 2019",19,21,27,36,40,44,2,"$9,006,308"
"16 December, 2019",4,10,22,23,40,42,7,"$4,873,885"
"12 December, 2019",2,22,29,33,36,45,20,"$2,618,560"
"09 December, 2019",21,22,27,30,39,44,46,"$1,137,805"
"05 December, 2019",2,9,14,26,30,47,34,"$8,936,944"
"02 December, 2019",1,14,15,25,34,35,36,"$4,704,568"
"28 November, 2019",6,30,34,45,46,48,32,"$2,506,571"
"25 November, 2019",3,6,16,35,38,46,23,"$1,075,947"
"21 November, 2019",1,4,16,18,30,32,37,
"18 November, 2019",1,16,17,20,21,30,29,
"14 November, 2019",2,9,16,21,36,49,31,"$2,626,300"
